season,auc,log_loss,brier,accuracy,n_games
2003,0.7490079365079365,0.599305647360427,0.20970462066833256,0.59375,64
2004,0.748015873015873,0.5937480344886226,0.205626819062917,0.6875,64
2005,0.8084066471163245,0.5602614396083399,0.18499267421994225,0.71875,64
2006,0.7392578125,0.6106163923440916,0.2160131273238241,0.640625,64
2007,0.85,0.4725740561015415,0.1584898938503933,0.75,64
2008,0.8285714285714286,0.49877003093555794,0.1688440468349783,0.75,64
2009,0.8239583333333333,0.5188064621440054,0.17252462013402137,0.734375,64
2010,0.8037109375,0.5343651967940511,0.1853802838930444,0.703125,64
2011,0.721415607985481,0.690855172440181,0.23374301399346928,0.6268656716417911,67
2012,0.7508928571428571,0.6144745348775226,0.201653150558614,0.6716417910447762,67
2013,0.7067736185383244,0.6519203165578394,0.22119364010342438,0.582089552238806,67
2014,0.7404718693284936,0.6529061201028034,0.2283647687067683,0.6268656716417911,67
2015,0.8431899641577061,0.49465048788732047,0.16308439779053566,0.746268656716418,67
2016,0.7404718693284936,0.6432263440188143,0.2168722049035742,0.6716417910447762,67
2017,0.8654188948306595,0.5147143899321388,0.17668592224617274,0.7014925373134329,67
2018,0.7482078853046595,0.655619115099548,0.21005165915661445,0.7014925373134329,67
2019,0.8067150635208711,0.5216364675036026,0.1772794105655077,0.7164179104477612,67
2021,0.7417279411764706,0.6631992638601104,0.22171414419424332,0.6818181818181818,66
2022,0.6794642857142857,0.6835543719307066,0.23770618351338316,0.6567164179104478,67
2023,0.6694444444444445,0.7214593564124824,0.2433056156298928,0.582089552238806,67
2024,0.7306201550387597,0.6023832539159384,0.20675224464109507,0.6865671641791045,67
2025,0.8095238095238095,0.5279018181751558,0.18120993906915966,0.7164179104477612,67
