season,auc,log_loss,brier,accuracy,n_games
2003,0.7857142857142857,0.5287522557994209,0.18185283297972105,0.703125,64
2004,0.7936507936507936,0.5304111865630536,0.18257037949049,0.65625,64
2005,0.8240469208211144,0.5127920581765877,0.1747361361590981,0.734375,64
2006,0.78125,0.5560899491333526,0.1903997720107441,0.671875,64
2007,0.8862745098039215,0.45602749458186276,0.14882855374320356,0.8125,64
2008,0.8541871921182266,0.4823460168763768,0.16067984100842508,0.75,64
2009,0.8614583333333334,0.4745349741602208,0.15678791196411396,0.78125,64
2010,0.7646484375,0.5687000332592465,0.1960234594846325,0.703125,64
2011,0.7486388384754992,0.6058294529655212,0.21374596631062207,0.6268656716417911,67
2012,0.7776785714285714,0.5882344934921813,0.19155221810285772,0.6716417910447762,67
2013,0.7406417112299466,0.5842729445680107,0.20464060808868295,0.6865671641791045,67
2014,0.778584392014519,0.5827523614680442,0.2041339547249369,0.6567164179104478,67
2015,0.8405017921146953,0.5049482219081599,0.16652771683956213,0.7611940298507462,67
2016,0.7967332123411979,0.5500365888701483,0.18369777950442512,0.746268656716418,67
2017,0.8279857397504456,0.5128053110759012,0.17516548678188412,0.7611940298507462,67
2018,0.7455197132616488,0.6156240483450791,0.20590619990071035,0.7014925373134329,67
2019,0.8230490018148819,0.5340955111704462,0.17894970328140633,0.6865671641791045,67
2021,0.7867647058823528,0.5662946240976227,0.19471368357612087,0.7272727272727273,66
2022,0.6928571428571428,0.6564283768916717,0.23047234992086707,0.6417910447761194,67
2023,0.6842592592592593,0.7145255928726192,0.23177432543545246,0.6119402985074627,67
2024,0.7248062015503877,0.5890719521816523,0.20569396438562562,0.6865671641791045,67
2025,0.8992673992673993,0.4656896869164171,0.149784177831318,0.8059701492537313,67
